date,code,usdprice
2009-03-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
2009-04-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
2009-05-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4894
2009-06-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-07-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-08-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-09-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-10-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-11-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2009-12-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2010-01-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2010-02-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2010-03-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.6102
2010-04-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.739
2010-05-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.375
2010-06-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.8983
2010-07-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.5762
2010-08-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.5762
2010-09-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.2542
2010-10-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.5762
2010-11-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.7775
2010-12-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.5762
2011-01-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.8983
2011-02-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.5762
2011-03-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.6567
2011-04-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",2.9385
